#{"t_start": 1772813248.3537831, "env_id": "None"}
r,l,t
-161.565287,200,6835.897803
-99.18453,200,6838.22364
-121.213149,200,6840.573091
-88.928338,200,6842.829502
-103.509694,200,6845.3573
-36.146028,82,6846.923097
-126.722646,200,6850.281483
-113.8044,200,6853.204154
-117.246874,200,6855.903159
-98.877104,200,6858.615107
-126.135925,200,6861.383812
-111.33173,200,6864.180989
-114.9622,200,6867.198443
-116.025129,200,6870.286272
-92.79477,200,6874.142233
-1.865918,32,6874.625511
-106.735098,200,6877.595978
-110.436903,200,6880.162159
-118.21559,200,6883.42385
-99.666008,200,6886.228338
-91.790708,200,6889.216641
-90.779971,187,6891.536606
-109.445371,200,6893.868578
-98.972426,200,6896.480861
-119.215136,200,6899.01978
-96.438791,200,6902.034701
3.745211,17,6902.260703
-22.734173,88,6903.323852
-122.83135,200,6906.245412
-106.720968,200,6908.644009
-100.085923,200,6911.147534
-113.852602,200,6913.562979
-95.100358,200,6915.820348
9.234889,2,6915.876342
-111.946462,200,6918.113032
-123.109111,200,6920.410145
-100.816574,200,6922.668044
-129.477787,200,6924.972119
-118.404527,200,6927.21834
0.292365,25,6927.542376
-95.63409,200,6929.822543
-106.427897,200,6932.178901
9.037473,4,6932.254668
-94.588078,200,6934.695116
-143.035914,200,6936.923483
-107.826125,200,6939.054213
-112.409945,200,6941.601235
-113.85774,200,6943.930702
-107.381855,200,6946.073663
-154.215455,200,6948.319845
-101.875294,200,6950.680359
-118.70343,200,6952.897648
-85.902403,200,6955.155185
-126.163534,200,6957.534277
-168.310592,200,6959.823124
2.42092,21,6960.08628
-106.122114,200,6962.393621
-115.93017,200,6964.877997
